query,users,%share,,,,,,,,,,,,,,,,,,,,,240670,Volume based classification,Intent based classification
399 rs hip hop t shirt for men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Brown oversized tshirt with back print,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Plain overtshirts cream,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Balboltam jins,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Messhed shoe,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Wbite shirt for men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Tell bottom pan light blue,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Harry potter t shirts women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.3 Character + Gender + Product
Marvel gold,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.1 Bare Character/Theme
Shorts and tshirt combo men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Sweaters  hoode,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
instinct,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Anime Oversized backprint t-shirt for women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.3 Character + Gender + Product
Minion hoodies,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
The man company perfume,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Gril,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Sneakers for man,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Tshirt half coller for ladies,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Watch accessories,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Black lowers,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Kitchen,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
jersey t shirt number 80 printed,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
T shirt regular fit,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Shot kurti girl,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Couple t shirt for,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Googl,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Anime printed hori,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.1 Bare Character/Theme
Double pocker shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
T shirt with collar for women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Oppo f17 pro mobile covers Dhoni,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
I am groot,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.1 Bare Character/Theme
Daily shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Tom tshirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Psg jersey,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Blue cotten,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Redmi 10 prime phone cover,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Hineac,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Freezone,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Womens lower,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Be dope Balck sweatshirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Trending printed tshirts for men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Light Blue relaxed fit cargo jeans men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Koler neck t-shirt for men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Sted feet jeans men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Loos fiting paint,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Samsung s23 fe phone case,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Full sleeve shirts oversized,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Sport t-shirts,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Tapered jeans men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Mens coller tshirts,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Surrounded by idiots,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Printed cover,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Cousal shoes,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Track men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Lowers men.,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Supporter shorts,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
One piece t,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.1 Bare Character/Theme
Lakh ki chuda,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Cute t shirts women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Keychain for men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Porsche 911 oversized tshirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
White young tshirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Busht,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
acid wash oversized t shirts for men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
399 t  shirt men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Girl t,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Mens cargo jogger jeans pants,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Blue eye samurai,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Offwhite cargo for mens,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Set set,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
iPhone 12 Pro leather cover,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Diginar top,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Pattern tshirt oversized women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
bleach anime,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.1 Bare Character/Theme
Zoro chain,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Ribbed shorts for men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Shorts  girls,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
T shirt for men in black,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Men baggy pants black,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Half shirts for mens,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Chocolate t shirts,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
cotton shirt for men combo,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Straight fit lover for mans,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Paint gents 200,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Full length blue tshirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
White shirts Plain,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
rick and morty t shirts,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.2 Product + Character
9.11E+12,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Hulk over sized t-shirts,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.2 Product + Character
vshape,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Independence day tshirts,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Light blue tshirt for men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Baggy jeans mem,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Mens varsity jacket,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Panda oversize,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.1 Bare Character/Theme
Denim straight loose,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Lower pajamas,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
90s jeans,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Demons layer shirt over size,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
iPhone 11 leather cover,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
46 printed T shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Mens full sleeve collar tshirta,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Oversized t shirts full sleves,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Crop white t shirt for women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
One plus nord ce2 silicon pouch,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
tsirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Baggys jeans for boys,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Bewakoof Men's Loose Mid Rise Jeans,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Cendo,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Capri for yoga,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,C.1 Bare Occasion
T shirt comb,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Crop shirts men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Polo T shirts white for men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Skorys,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Oversized t shirt from Marvel,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.2 Product + Character
Bewakoof tshirts for women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Survey corps,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Samsung A23 hard back cover,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Boys cotton shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Red tape slider,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
T SHIRTS FOR WOMEN,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
White full sleeve t shirts,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Indian flag badge,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Pack of 2 t Shirts,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Earring boys kaner,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Sweartshirt men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Back print for boys,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Haf shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Neckband tshit for women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Shirts embroidery,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Jacket for womne,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Tecno pova 5g pro cover,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Long pants joggers,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Fingertips book,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Women friends,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.3 Character + Gender
Bow lower,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Shirts xs,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Over tshirts women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Straight lower for women.,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Motorola edge 50 pro back cover,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Low price tshirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Winter sweater for man,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Maroon color T-shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
3/4 sleeve t shirls men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Money print,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Men's three four jeans,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Joggers with pocket lace,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
JeansJaket,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Best item,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Backprint t shirt for kids,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Black graphic,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
sherlock,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Green white peanuts tshirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Somebodlove tshirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
bike oversized,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.1 Bare Character/Theme
Fc Barcelona t shirts,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Realmi 6,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
dark brown t shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Brahamastra,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Pink tishirt for women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
BMW caps,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Techno sport track pant,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
S24 ultra samsung case,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Se,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Trekking shors,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Chakka wala juta,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Relaxed fit Cargo,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Naruto and sasuke,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.1 Bare Character/Theme
Hooded,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Grey lycra pants for men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
JJK t shirts,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Black kurtis,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Deep neck round,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Washed jeans men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Oversized Tshirts for men under 399,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Toji zeni,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Printed tshirt Luffy,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
engineerr,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
White blazers,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Moustache,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Taddy,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Red kitty tshirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Mj t shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Men anime full sleeves sweatshirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.3 Character + Gender + Product
Gouke,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Long nayra suti,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Gym over sized t shirts,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,C.2 Product + Occasion
Rap t shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Slee,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Winter jacket  for women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Jeans for woman,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Hodies shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
bojack,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Hope,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Ganesh t shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Shorts men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Karma white shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.3 Product + Color
Allergies to human,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Spiderweb trackpants,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
tshirt full sleeve,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Mirrors,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Never trust a smiling cat,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.1 Bare Character/Theme
Print malayalam,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Realme 9 4g cover,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Fire socks,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
"oversized t-shirt with a graphic design, including Japanese text and large stylized letters.",1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Streat wear,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
White se do,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Mahadev name cotton kurta,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.4 Product + Style
Ghost rider over size t shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Vijay,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Tod Bag,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Jensh àª¸à«‡àª¨à«àª¡àª²,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
cargo lower for men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Top for 9,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Long rain coat,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Bewkoof tshirt men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Jin jacket for women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Goku edit,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.1 Bare Character/Theme
Gods plan,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Tom and Jerry overseas t-shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Short with skirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Symphony,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Scoobie doo t shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Outer,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Ass colour jeans,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
The matrix,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Aude,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Skirts women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.2 Product + Gender
Pockman,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
beige baggy jeans,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Nomad,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
White shirt length t shirt for women,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Women oversized t shirts red,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.5 Product + Multiple Modifiers
Minimalist ment shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,B.3 Character + Gender + Product
13 years girl,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Nokia kepad phone.,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
200 t shirts,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
White warrior,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Under waer,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Marathi T-shirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Half sweatshirt,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,A.1 Bare Product
Sports t shirt for men,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,C.2 Product + Occasion
White choice,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
Purple palazzo,1,0.00%,,,,,,,,,,,,,,,,,,,,,,Micro Tail Queries,Uncategorized
